index,date of death,name,age,bio,cause of death,Unnamed: 5,Unnamed: 6
226,2016-01-10,John Stokes,70,British Army soldier and mountaineer.,,,
227,2016-01-10,Teofil Codreanu,74,Romanian footballer (Rapid București).,,,
228,2016-01-10,Anthony Mellows,79,"British barrister and academic, Lord Prior of the Order of St John (2008–2014)",,,
229,2016-01-10,The Wolfman,80,Hungarian-born Canadian professional wrestler (WWWF).,,,
230,2016-01-10,Yusuf Zuayyin,84,"Syrian politician, Prime Minister (1965, 1966–1968).",,,
231,2016-01-10,Bob Oatley,87,Australian yachtsman (Wild Oats XI) and winemaker (Rosemount).,,,
232,2016-01-10,Kalevi Lehtovirta,87,Finnish footballer.,,,
233,2016-01-10,Francis Thomas Hurley,88,"American Roman Catholic prelate, Archbishop of Anchorage (1976–2001), Bishop of Juneau (1971–1976).",,,
234,2016-01-10,Cornelis Zitman,89,Dutch-born Venezuelan sculptor.,,,
235,2016-01-10,Alex Hickman,90,Canadian judge and politician.,,,
236,2016-01-10,Dick Spady,92,American businessman (Dick's Drive-In).,,,
237,2016-01-10,Charles Congden Carpenter,94,American naturalist.,,,
238,2016-01-10,Ralph Hauenstein,103,American philanthropist and businessman.,,,
239,2016-01-11,Sylvan Barnet,89,American literary critic, cancer,,
240,2016-01-11,Don Strauch,89,"American politician, Mayor of Mesa, Arizona (1980–1984), member of the Arizona House of Representatives (1987–1988)", complications from a fall,,
241,2016-01-11,Reginaldo Araújo,38,Brazilian footballer, heart attack,,
242,2016-01-11,Budi Anduk,47,Indonesian actor (Opera Van Java) and comedian, pneumonia,,
243,2016-01-11,Albert Onyembo Lomandjo,84,Congolese Roman Catholic prelate,,,
244,2016-01-11,János Radványi,93,"Hungarian-born American political scientist and diplomat, Ambassador to the United States (1962–1967)",,,
245,2016-01-11,Chuck Pitcock,57,American football player (Tampa Bay Bandits).,,,
246,2016-01-11,Yevgeny Kotlov,66,Russian Soviet ice hockey player (Dynamo Moscow).,,,
247,2016-01-11,Elizabeth Aston,67,English author.,,,
248,2016-01-11,John Easter,70,"English squash player and cricketer, World Championship silver medallist (1973)",,,
249,2016-01-11,David Margulies,78,"American actor (Ghostbusters, The Sopranos, Conversations with My Father).",,,
250,2016-01-11,Berge Furre,78,Norwegian politician and historian.,,,
251,2016-01-11,Stanley Mann,87,"Canadian scriptwriter (The Collector, Conan the Destroyer, Firestarter).",,,
252,2016-01-11,Robert Coates,87,"Canadian politician, MP (1957–1988)",,,
253,2016-01-11,Sir Kenneth Corfield,91,"British camera engineer, inventor of the Corfield Periflex ",,,
254,2016-01-11,Monte Irvin,96,"American Hall of Fame baseball player (Newark Eagles, New York Giants, Chicago Cubs), winner of the 1954 World Series.",,,
255,2016-01-11,Gunnel Vallquist,97,Swedish writer and translator (In Search of Lost Time).,,,
256,2016-01-11,John B. Mansbridge,98,"American art director (Bedknobs and Broomsticks, Tron, The Apple Dumpling Gang).",,,
257,2016-01-12,Brian Johnson,59,"Australian rugby league player and coach (St. George, Warrington)", Alzheimer's disease,,
258,2016-01-12,Dave Sime,79,"American sprinter and ophthalmologist, Olympic silver medalist (1960)", cancer,,
259,2016-01-12,"James L. Browning, Jr",83,American prosecutor, fall,,
260,2016-01-12,Gastón Guzmán,83,Mexican mycologist and anthropologist, heart attack,,
261,2016-01-12,Rose Chibambo,86,"Malawian politician, Deputy Minister for Hospitals, Prisons and Social Welfare (1963–1964)", heart attack,,
262,2016-01-12,Andrew Smith,25,"American basketball player (Butler Bulldogs, Neptūnas), Neptūnas)", non-Hodgkin lymphoma,,
263,2016-01-12,Ivan Bukavshin,20,Russian chess Grandmaster, stroke,,
264,2016-01-12,Milorad Rajović,61,Serbian footballer.,,,
265,2016-01-12,Carolyn D. Wright,67,American poet.,,,
266,2016-01-12,Marian Czapla,69,Polish painter.,,,
267,2016-01-12,Gian Bazzi,84,Swiss ice hockey player.,,,
268,2016-01-12,John Stevens,86,British journalist.,,,
269,2016-01-12,Robert Black,68,Scottish serial killer and kidnapper.,,,
270,2016-01-12,Melania Ursu,75,Romanian stage and film actress (Flames over Treasures).,,,
271,2016-01-12,Tommy Mulgrew,86,British footballer (Southampton).,,,
272,2016-01-12,Ruth Leuwerik,91,German film actress (The Trapp Family).,,,
273,2016-01-12,Witold Mańczak,91,Polish linguist.,,,
274,2016-01-12,William Needles,97,American-Canadian actor.,,,
275,2016-01-12,Meg Mundy,101,"American actress (Fatal Attraction, All My Children, Ordinary People).",,,
276,2016-01-13,Bern Herbolsheimer,67,American composer, cancer,,
277,2016-01-13,Brian Bedford,80,"British actor (Robin Hood, Nixon, Much Ado About Nothing)", cancer,,
278,2016-01-13,Luis Arroyo,88,"Puerto Rican baseball player (St. Louis Cardinals, Pittsburgh Pirates, New York Yankees), winner of the 1961 World Series", cancer,,
279,2016-01-13,Tera Wray,33,American pornographic actress, suicide,,
